iter	Logloss
0	0.6660498131
1	0.6429636406
2	0.6224625594
3	0.6070267531
4	0.5904634948
5	0.5749791297
6	0.5610047701
7	0.5484285377
8	0.5383668722
9	0.5289594898
10	0.5203077836
11	0.5118670647
12	0.5036452406
13	0.4957616287
14	0.4882133002
15	0.4816558853
16	0.4747659401
17	0.4694344125
18	0.4639300886
19	0.4599408076
20	0.4542182625
21	0.4492212861
22	0.4446919434
23	0.4403378279
24	0.437077308
25	0.4325930974
26	0.4285921307
27	0.425512754
28	0.4223595143
29	0.4199351235
30	0.4148352601
31	0.4121707117
32	0.4091828878
33	0.4044554444
34	0.4024242092
35	0.4002481765
36	0.3957337119
37	0.3926465447
38	0.3897505665
39	0.3869297985
40	0.3847203781
41	0.3832945157
42	0.381596338
43	0.3791302125
44	0.3771571423
45	0.3752553578
46	0.3739778659
47	0.3724968551
48	0.3708068194
49	0.3690419833
50	0.3667279771
51	0.3652924498
52	0.3627398091
53	0.361301558
54	0.3594652019
55	0.3575176703
56	0.3542634765
57	0.3526931681
58	0.3512655484
59	0.3500835631
60	0.3477386586
61	0.3468516864
62	0.3455890726
63	0.3429941699
64	0.3413985864
65	0.3399334201
66	0.3385294062
67	0.3367809418
68	0.3351430671
69	0.3326492064
70	0.3309443219
71	0.3299214263
72	0.3280830786
73	0.3268583335
74	0.3250225924
75	0.3233718312
76	0.3220280617
77	0.3209354325
78	0.3193935623
79	0.3185538015
80	0.3176553779
81	0.3161380213
82	0.3141729172
83	0.3132868529
84	0.312298663
85	0.3106660894
86	0.3095058061
87	0.3082818517
88	0.3070893522
89	0.3052092991
90	0.3036354469
91	0.302588477
92	0.3009545854
93	0.2999430827
94	0.2985771718
95	0.2970596394
96	0.2959103683
97	0.2945013755
98	0.2934529412
99	0.2925743745
