iter	Passed	Remaining
0	133	13214
1	134	6605
2	135	4396
3	136	3285
4	138	2624
5	138	2177
6	139	1859
7	140	1620
8	141	1434
9	143	1287
10	144	1165
11	145	1063
12	146	978
13	147	904
14	148	839
15	149	782
16	150	733
17	151	688
18	152	648
19	152	611
20	153	579
21	154	548
22	155	521
23	156	496
24	157	472
25	158	451
26	159	431
27	160	412
28	161	395
29	162	379
30	163	364
31	164	350
32	166	337
33	166	324
34	168	312
35	169	300
36	169	289
37	170	278
38	171	268
39	172	259
40	173	250
41	174	241
42	175	233
43	176	225
44	178	217
45	179	210
46	180	203
47	181	196
48	182	189
49	183	183
50	184	177
51	185	171
52	186	165
53	187	159
54	188	154
55	189	148
56	190	143
57	191	138
58	192	133
59	193	128
60	194	124
61	195	119
62	196	115
63	197	110
64	198	106
65	199	102
66	200	98
67	201	94
68	202	90
69	203	87
70	204	83
71	204	79
72	206	76
73	207	72
74	208	69
75	209	66
76	210	62
77	211	59
78	212	56
79	213	53
80	214	50
81	215	47
82	216	44
83	217	41
84	218	38
85	219	35
86	220	32
87	221	30
88	222	27
89	223	24
90	224	22
91	225	19
92	226	17
93	227	14
94	228	12
95	229	9
96	230	7
97	231	4
98	232	2
99	233	0
